id,title,url,model,year,km,price,wltp
0,Nissan Leaf Bud. Tekna.Altutst-Heng.f-Dashcam forbak-Facelift23,https://www.finn.no/car/used/ad.html?finnkode=309528616,Nissan Leaf,2020,36707,220000,270
1,Volkswagen Golf E-GOLF 36KW,https://www.finn.no/car/used/ad.html?finnkode=310012520,Volkswagen Golf,2018,69000,169147,250
2,Nissan Leaf 40kWh TEKNA/360KAM/KEYLESS/BOSE/NAVI/KROK/R KAM,https://www.finn.no/car/used/ad.html?finnkode=311341813,Nissan Leaf,2018,31000,179000,270
3,Nissan Leaf 40kWh Tekna NORSK BIL!/GARANTI/SKINN/KROK FOR SYKKEL++,https://www.finn.no/car/used/ad.html?finnkode=312408284,Nissan Leaf,2020,49374,204900,270
4,MG ZS EV 105KW Luxury 143HK/ACC/Navi/Soltak/Krok/Klima/R.Kam/DAB,https://www.finn.no/car/used/ad.html?finnkode=310577941,MG ZS EV,2020,36129,209000,263
5,Hyundai IONIQ Premium topputstyrt bil. Hengerfeste alle servicer.,https://www.finn.no/car/used/ad.html?finnkode=311709310,Hyundai IONIQ,2020,72000,209900,311
6,Hyundai IONIQ Premium Skinn Kamera Keyless Krok LED+++,https://www.finn.no/car/used/ad.html?finnkode=313097616,Hyundai IONIQ,2020,36600,219900,311
7,Nissan Leaf 62kWh e+ Tekna Transportfeste (ikke for tilhenger),https://www.finn.no/car/used/ad.html?finnkode=297493701,Nissan Leaf,2019,74177,229000,385
8,Volkswagen ID.3 1stPlus 150 Kw,https://www.finn.no/car/used/ad.html?finnkode=312147538,Volkswagen ID.3,2021,59000,249000,418
9,MG ZS EV Luxury / Skinn / Panorama / Krok / 7 års garanti,https://www.finn.no/car/used/ad.html?finnkode=307041745,MG ZS EV,2021,28700,249000,263
10,Kia Soul 64 kWt,https://www.finn.no/car/used/ad.html?finnkode=287244410,Kia Soul,2020,40000,254147,452
11,Volkswagen ID.3 1 ST PRO PERFORMANCE PLUS 150 KW 417 KM H.FESTE,https://www.finn.no/car/used/ad.html?finnkode=311967006,Volkswagen ID.3,2021,67000,258900,417
12,Volkswagen ID.3 1st Plus 417km / Norsk / V.Pumpe / ACC / Matrix / R.Kam,https://www.finn.no/car/used/ad.html?finnkode=313664327,Volkswagen ID.3,2021,41000,259900,417
13,Nissan Leaf 62KWH E+ TEKNA TopputgaveSykkelstativPropilotSkinn,https://www.finn.no/car/used/ad.html?finnkode=308565475,Nissan Leaf,2020,70752,259900,385
14,Nissan Leaf e+ N-Connecta MY20 62 kWh Synthetic Part-Leather LED,https://www.finn.no/car/used/ad.html?finnkode=312966445,Nissan Leaf,2021,32891,269900,385
15,Nissan Leaf 62kWh S+V/1-EIERS/HENGERFESTE/CRUISE/NAVI/DAB,https://www.finn.no/car/used/ad.html?finnkode=313513887,Nissan Leaf,2021,40684,269990,385
16,Volkswagen ID.3 PRO 150 KW / 1st V+S Hjul / Navigasjon/424km,https://www.finn.no/car/used/ad.html?finnkode=313536848,Volkswagen ID.3,2021,21245,279000,429
17,Kia Soul 64 kWt Exclusive HENGERFESTE/SUV/SKINNSETER/1EIER/NORSK,https://www.finn.no/car/used/ad.html?finnkode=311294921,Kia Soul,2020,44061,279000,452
18,Kia E-Niro E-NIRO 150KW,https://www.finn.no/car/used/ad.html?finnkode=312275420,Kia E-Niro,2019,50634,281868,455
19,Tesla Model 3 SR+  Autopilot Hengerfeste,https://www.finn.no/car/used/ad.html?finnkode=310595674,Tesla Model 3,2020,73500,284868,409
20,Tesla Model 3 Standard Range Plus -Skinn/AP/Navi/Rygge/Krok/ACC,https://www.finn.no/car/used/ad.html?finnkode=312018136,Tesla Model 3,2019,43000,285000,409
21,Tesla Model 3 SR+ 415km / Hengerfeste / Autopilot/ S+V/ Chrome Delete,https://www.finn.no/car/used/ad.html?finnkode=294802249,Tesla Model 3,2019,54500,289000,415
22,Hyundai IONIQ Premium / Norsk / Skinn / Takluke / Krok / App,https://www.finn.no/car/used/ad.html?finnkode=275776519,Hyundai IONIQ,2020,42000,289000,311
23,Tesla Model 3 MODEL 3 225KW,https://www.finn.no/car/used/ad.html?finnkode=309826806,Tesla Model 3,2019,64430,294147,415
24,Volkswagen ID.3 1st PRO 150 KW/Transportfeste/Ad Cruise /V-Ratt+++,https://www.finn.no/car/used/ad.html?finnkode=306482562,Volkswagen ID.3,2021,17000,298900,417
25,Hyundai Kona 64 KW 482 km.204 hk. Prenium,https://www.finn.no/car/used/ad.html?finnkode=307985757,Hyundai Kona,2020,54000,299000,484
26,Volkswagen ID.3 1st Plus LED-Matrix-Keyless-Ryggekamera-Transportfeste,https://www.finn.no/car/used/ad.html?finnkode=311306304,Volkswagen ID.3,2021,38234,309750,417
27,Tesla Model 3 SR+*LAV KM*AUTOPILOT*HENGERFESTE*SKINN*S+V*PÅKOSTET!,https://www.finn.no/car/used/ad.html?finnkode=310425148,Tesla Model 3,2020,55000,309900,409
28,Maxus Euniq 5 177hk Exclusive 7-seter EL.BAKLUKE/GLASSTAK7 LAV KM!!!,https://www.finn.no/car/used/ad.html?finnkode=309055979,Maxus Euniq 5,2021,8968,309900,260
29,Tesla Model 3 Long Range RWD 600km/ Krok/ 19/ EU25/ Autopilot S+V,https://www.finn.no/car/used/ad.html?finnkode=307037433,Tesla Model 3,2019,55000,310000,600
